image_path,filename,true_class,pred_class,true_idx,pred_idx
/data/users/xzq/nilm/dataset_new/test/Fridge/635_cycle_2.png,635_cycle_2.png,Fridge,Fan,3,2
/data/users/xzq/nilm/dataset_new/test/Fridge/635_cycle_15.png,635_cycle_15.png,Fridge,Fan,3,2
/data/users/xzq/nilm/dataset_new/test/Fridge/129_cycle_4.png,129_cycle_4.png,Fridge,Fan,3,2
/data/users/xzq/nilm/dataset_new/test/Fridge/530_cycle_6.png,530_cycle_6.png,Fridge,Washing Machine,3,10
/data/users/xzq/nilm/dataset_new/test/Fridge/530_cycle_13.png,530_cycle_13.png,Fridge,Washing Machine,3,10
/data/users/xzq/nilm/dataset_new/test/Fridge/635_cycle_7.png,635_cycle_7.png,Fridge,Fan,3,2
/data/users/xzq/nilm/dataset_new/test/Fridge/530_cycle_10.png,530_cycle_10.png,Fridge,Washing Machine,3,10
/data/users/xzq/nilm/dataset_new/test/Fridge/129_cycle_8.png,129_cycle_8.png,Fridge,Fan,3,2
/data/users/xzq/nilm/dataset_new/test/Fridge/530_cycle_14.png,530_cycle_14.png,Fridge,Washing Machine,3,10
/data/users/xzq/nilm/dataset_new/test/Fridge/530_cycle_8.png,530_cycle_8.png,Fridge,Washing Machine,3,10
/data/users/xzq/nilm/dataset_new/test/Fridge/530_cycle_7.png,530_cycle_7.png,Fridge,Washing Machine,3,10
/data/users/xzq/nilm/dataset_new/test/Fridge/635_cycle_1.png,635_cycle_1.png,Fridge,Fan,3,2
/data/users/xzq/nilm/dataset_new/test/Fridge/530_cycle_2.png,530_cycle_2.png,Fridge,Washing Machine,3,10
/data/users/xzq/nilm/dataset_new/test/Fridge/129_cycle_1.png,129_cycle_1.png,Fridge,Air Conditioner,3,0
/data/users/xzq/nilm/dataset_new/test/Fridge/635_cycle_3.png,635_cycle_3.png,Fridge,Fan,3,2
/data/users/xzq/nilm/dataset_new/test/Fridge/635_cycle_6.png,635_cycle_6.png,Fridge,Fan,3,2
/data/users/xzq/nilm/dataset_new/test/Fridge/635_cycle_8.png,635_cycle_8.png,Fridge,Fan,3,2
/data/users/xzq/nilm/dataset_new/test/Fridge/129_cycle_2.png,129_cycle_2.png,Fridge,Fan,3,2
/data/users/xzq/nilm/dataset_new/test/Fridge/530_cycle_11.png,530_cycle_11.png,Fridge,Washing Machine,3,10
